Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10,Pruned-global Aggregated,Whole Aggregated
1,0.1,0.1,0.1,0.1,0.1,0.1152,0.1718,0.1074,0.1347,0.1241,0.1431,0.136
2,0.1,0.1229,0.1034,0.1301,0.1,0.147,0.1469,0.145,0.1213,0.131,0.1385,0.1385
3,0.115,0.1714,0.1418,0.1409,0.1028,0.1743,0.2222,0.1608,0.1444,0.1246,0.1817,0.1766
4,0.1892,0.2502,0.1193,0.2268,0.1158,0.2296,0.1998,0.151,0.1615,0.1492,0.2835,0.2648
5,0.2045,0.2328,0.1794,0.1972,0.1474,0.2171,0.2505,0.1673,0.1984,0.2169,0.3361,0.3248
6,0.2578,0.2476,0.1785,0.2262,0.2166,0.1952,0.2639,0.2309,0.1973,0.2364,0.3392,0.331
7,0.2719,0.2785,0.1848,0.2685,0.2803,0.2391,0.2742,0.2451,0.2517,0.2422,0.366,0.3575
8,0.3016,0.3484,0.2279,0.2445,0.2121,0.2188,0.2872,0.2543,0.2526,0.2286,0.4061,0.39
9,0.314,0.3508,0.1987,0.3239,0.2521,0.2231,0.3051,0.2513,0.2588,0.2783,0.4026,0.3907
10,0.3092,0.3861,0.2188,0.2598,0.293,0.2624,0.2849,0.2496,0.3395,0.2891,0.4518,0.4468
11,0.3236,0.402,0.2591,0.3056,0.3264,0.2805,0.3309,0.2988,0.2957,0.2919,0.4547,0.447
12,0.349,0.3857,0.2694,0.3383,0.2425,0.2952,0.3231,0.2882,0.3195,0.3008,0.466,0.4531
13,0.3699,0.3802,0.2733,0.3357,0.3131,0.2987,0.3341,0.2616,0.3473,0.3325,0.4614,0.4565
14,0.4014,0.4128,0.2785,0.3264,0.3175,0.2684,0.2977,0.2967,0.3368,0.2991,0.4969,0.4818
15,0.3791,0.4529,0.3034,0.3817,0.2952,0.3228,0.3276,0.304,0.3813,0.367,0.5092,0.5012
16,0.392,0.4452,0.3223,0.3261,0.3444,0.3298,0.3395,0.3199,0.3809,0.319,0.5029,0.4865
17,0.4495,0.4259,0.3171,0.3588,0.3522,0.3098,0.3575,0.3163,0.367,0.3513,0.5206,0.5089
18,0.4247,0.4158,0.3284,0.3522,0.3934,0.3113,0.3661,0.3129,0.3819,0.3461,0.5081,0.4885
19,0.4147,0.4307,0.3228,0.403,0.3374,0.3589,0.379,0.3866,0.3718,0.3498,0.5131,0.5007
20,0.4539,0.4607,0.3211,0.3792,0.3757,0.3419,0.4026,0.3399,0.3551,0.3499,0.5254,0.5137
21,0.4853,0.4675,0.3559,0.3642,0.3483,0.3215,0.4029,0.3539,0.3769,0.3687,0.5379,0.5294
22,0.4139,0.4758,0.375,0.396,0.3777,0.3573,0.377,0.3691,0.4096,0.3799,0.5269,0.5193
23,0.4566,0.4676,0.3484,0.4006,0.3775,0.3591,0.3941,0.3383,0.4084,0.3788,0.552,0.5416
24,0.4369,0.4648,0.3617,0.407,0.4002,0.3535,0.3919,0.3794,0.3803,0.3892,0.5407,0.5317
25,0.4823,0.5078,0.3836,0.422,0.383,0.3722,0.4159,0.3968,0.3756,0.3941,0.5571,0.5491
26,0.4567,0.4604,0.3961,0.4166,0.426,0.3653,0.4346,0.3988,0.4062,0.3695,0.5534,0.5534
27,0.4788,0.5004,0.3531,0.4067,0.4399,0.3594,0.3806,0.3771,0.3951,0.3877,0.5495,0.5484
28,0.4608,0.4911,0.3904,0.4104,0.4124,0.3778,0.4112,0.4233,0.4251,0.4202,0.5511,0.548
29,0.4437,0.4697,0.4516,0.4316,0.439,0.385,0.4077,0.4055,0.4399,0.4108,0.5476,0.5428
30,0.4806,0.4819,0.3896,0.4689,0.4676,0.3921,0.4148,0.4169,0.4237,0.4314,0.5414,0.5433
31,0.4675,0.465,0.4071,0.4276,0.4511,0.3908,0.4113,0.4415,0.4232,0.4037,0.5556,0.5496
32,0.3989,0.5047,0.4075,0.4283,0.4238,0.3924,0.404,0.4172,0.4199,0.4225,0.5492,0.5448
33,0.5091,0.5076,0.4059,0.4161,0.4585,0.3864,0.4194,0.4145,0.4268,0.4187,0.5628,0.5596
34,0.5049,0.4769,0.4184,0.4646,0.4743,0.376,0.4156,0.4251,0.4463,0.4397,0.5569,0.5561
35,0.462,0.489,0.4067,0.4763,0.4389,0.3758,0.4086,0.4043,0.465,0.4047,0.5484,0.5435
36,0.4335,0.4791,0.4397,0.4714,0.4178,0.3843,0.4292,0.432,0.4704,0.4003,0.5497,0.5438
37,0.4402,0.4905,0.4391,0.4265,0.4125,0.4185,0.4378,0.4537,0.4223,0.3952,0.5404,0.5387
38,0.4899,0.4631,0.4312,0.392,0.4431,0.3672,0.4308,0.4457,0.4462,0.4335,0.5536,0.5531
39,0.4621,0.5042,0.4353,0.4522,0.4671,0.3981,0.4456,0.4496,0.4561,0.4278,0.5528,0.5492
40,0.4826,0.4989,0.4292,0.4415,0.4297,0.4002,0.4092,0.4213,0.4716,0.4131,0.5586,0.5568
41,0.4762,0.4983,0.4421,0.4666,0.4654,0.4054,0.4166,0.426,0.4529,0.4279,0.5564,0.5526
42,0.471,0.513,0.3917,0.4429,0.4639,0.3924,0.4601,0.4387,0.4659,0.4186,0.5666,0.5664
43,0.4792,0.5048,0.436,0.4614,0.424,0.3791,0.3847,0.4316,0.4624,0.43,0.5577,0.5556
44,0.5043,0.5049,0.4255,0.4585,0.4076,0.4066,0.4215,0.4309,0.4484,0.4347,0.5644,0.5652
45,0.4819,0.5129,0.4334,0.4605,0.4792,0.4062,0.4268,0.4425,0.4664,0.4304,0.5664,0.5672
46,0.5017,0.5002,0.4426,0.491,0.4635,0.4115,0.4231,0.4505,0.4697,0.4596,0.558,0.5614
47,0.4646,0.5046,0.4048,0.4703,0.4536,0.3961,0.4551,0.4523,0.4673,0.4231,0.5527,0.5508
48,0.4747,0.4919,0.4323,0.4616,0.4517,0.425,0.4231,0.4555,0.4412,0.4306,0.5492,0.5531
49,0.4881,0.4981,0.4586,0.459,0.4604,0.4165,0.433,0.457,0.4591,0.4503,0.5578,0.562
50,0.4742,0.5118,0.4379,0.4652,0.4644,0.4321,0.4325,0.4597,0.4628,0.4507,0.5594,0.5605
51,0.4859,0.5006,0.4655,0.451,0.4984,0.4111,0.4181,0.4381,0.4628,0.4575,0.5623,0.5632
52,0.4781,0.5066,0.4532,0.4671,0.4697,0.4346,0.4477,0.4621,0.4227,0.4676,0.553,0.5554
53,0.4846,0.4884,0.4423,0.4406,0.4834,0.4187,0.4321,0.4394,0.4506,0.4547,0.5456,0.5463
54,0.4384,0.4988,0.4157,0.4714,0.4591,0.4103,0.4857,0.4433,0.4636,0.4441,0.5376,0.5393
55,0.4578,0.5004,0.437,0.467,0.4859,0.4399,0.4204,0.4782,0.4518,0.4227,0.554,0.553
56,0.4704,0.4822,0.4317,0.4835,0.4964,0.4231,0.4815,0.4676,0.4626,0.4278,0.5461,0.5495
57,0.481,0.4821,0.4387,0.4712,0.4424,0.4317,0.4337,0.4511,0.4219,0.4318,0.5455,0.5472
58,0.4703,0.4669,0.4466,0.4513,0.4915,0.4091,0.4394,0.448,0.4529,0.4334,0.5444,0.5459
59,0.4636,0.498,0.4482,0.4657,0.4651,0.4189,0.4335,0.4753,0.4438,0.4404,0.5522,0.5561
60,0.4514,0.4778,0.4292,0.4635,0.4696,0.4362,0.4704,0.4637,0.4142,0.448,0.5283,0.5317
61,0.4721,0.5112,0.4398,0.4714,0.4926,0.3946,0.4751,0.4487,0.4683,0.4256,0.5493,0.5502
62,0.443,0.4921,0.4504,0.4645,0.4763,0.3888,0.4384,0.4279,0.4664,0.4306,0.5403,0.5436
63,0.4785,0.4881,0.4504,0.46,0.4969,0.4505,0.4726,0.4552,0.4749,0.4431,0.5444,0.5449
64,0.4794,0.5095,0.4406,0.4667,0.4826,0.418,0.4549,0.4436,0.4498,0.4272,0.5436,0.5453
65,0.4897,0.4891,0.4485,0.4635,0.4622,0.4328,0.4346,0.4607,0.4627,0.4393,0.5505,0.5522
66,0.47,0.4952,0.4273,0.4686,0.493,0.4044,0.4489,0.4759,0.4741,0.4536,0.5457,0.5483
67,0.5119,0.4965,0.4393,0.4764,0.488,0.4329,0.471,0.4781,0.4848,0.4676,0.5541,0.5554
68,0.4684,0.4777,0.4285,0.4519,0.4844,0.429,0.4109,0.4612,0.472,0.4518,0.5391,0.5427
69,0.4553,0.4687,0.4533,0.4555,0.466,0.4435,0.4635,0.4583,0.4597,0.4434,0.5333,0.5359
70,0.4747,0.5132,0.4323,0.4688,0.4698,0.4188,0.4351,0.4763,0.4807,0.4676,0.5505,0.5546
71,0.4843,0.506,0.4472,0.4705,0.4766,0.4283,0.4558,0.4519,0.4728,0.4316,0.5552,0.5588
72,0.4729,0.4919,0.4489,0.4637,0.4792,0.4153,0.4501,0.4635,0.4657,0.4253,0.5585,0.5624
73,0.4707,0.4938,0.4588,0.4605,0.4956,0.4317,0.4707,0.4633,0.4864,0.4511,0.5424,0.5453
74,0.5017,0.4712,0.4569,0.4746,0.4915,0.4201,0.4658,0.46,0.4422,0.446,0.5455,0.5476
75,0.5199,0.5269,0.4525,0.4483,0.4742,0.4318,0.437,0.4409,0.4533,0.4287,0.5642,0.5673
76,0.4572,0.4618,0.4813,0.4692,0.4701,0.4296,0.4692,0.4608,0.462,0.4483,0.5349,0.5361
77,0.4421,0.4578,0.448,0.476,0.4878,0.4427,0.483,0.4524,0.4811,0.4392,0.5297,0.535
78,0.4747,0.5285,0.4704,0.4732,0.4822,0.4285,0.4526,0.4517,0.468,0.4585,0.5446,0.5456
79,0.4518,0.4779,0.4393,0.4759,0.4801,0.4178,0.4677,0.4632,0.4807,0.4581,0.5331,0.5363
80,0.5011,0.5025,0.4644,0.4772,0.4962,0.4197,0.4562,0.4797,0.4477,0.4537,0.5629,0.5648
81,0.4649,0.5182,0.4586,0.4712,0.4685,0.4332,0.4797,0.464,0.4537,0.4524,0.5568,0.5583
82,0.4914,0.4732,0.4471,0.4635,0.4859,0.4429,0.4484,0.4815,0.4837,0.4569,0.5487,0.551
83,0.46,0.4556,0.4584,0.4802,0.4827,0.4426,0.4433,0.4804,0.4615,0.441,0.5228,0.523
84,0.4754,0.4934,0.4476,0.4719,0.4562,0.4357,0.4381,0.4683,0.448,0.4565,0.5409,0.5431
85,0.4676,0.4831,0.4659,0.4889,0.4786,0.4504,0.4615,0.4523,0.448,0.4618,0.5462,0.5497
86,0.4873,0.5119,0.4455,0.4761,0.4767,0.4411,0.4417,0.4628,0.4453,0.455,0.5491,0.5527
87,0.4972,0.5034,0.4387,0.4756,0.482,0.422,0.4718,0.4699,0.4715,0.4377,0.5416,0.5428
88,0.4585,0.4878,0.4655,0.4898,0.4962,0.4463,0.4484,0.456,0.454,0.4563,0.5373,0.542
89,0.467,0.4871,0.4541,0.4614,0.4705,0.4085,0.459,0.4668,0.4472,0.4626,0.5259,0.5322
90,0.4896,0.5075,0.4481,0.4786,0.4658,0.4452,0.464,0.4632,0.459,0.437,0.5435,0.5448
91,0.4326,0.4737,0.4336,0.4547,0.4756,0.4429,0.4512,0.4798,0.4496,0.4466,0.5259,0.5294
92,0.4696,0.486,0.4505,0.4706,0.4816,0.4415,0.4387,0.4842,0.4701,0.4401,0.5398,0.544
93,0.4392,0.4655,0.4632,0.4899,0.4754,0.4145,0.4688,0.4687,0.4461,0.4646,0.51,0.5163
94,0.4604,0.4699,0.4536,0.4796,0.4651,0.4362,0.4664,0.4581,0.4676,0.4488,0.5165,0.5192
95,0.4522,0.5052,0.4584,0.4789,0.4782,0.4468,0.4667,0.4762,0.477,0.4472,0.5215,0.5264
96,0.4777,0.5043,0.4549,0.4341,0.4769,0.4548,0.4548,0.4716,0.4689,0.4256,0.5315,0.5375
97,0.4692,0.4891,0.4529,0.4734,0.4728,0.4461,0.4412,0.4772,0.4445,0.4615,0.5278,0.532
98,0.4805,0.4666,0.4588,0.4781,0.4828,0.4436,0.4579,0.4584,0.4763,0.4601,0.5419,0.5468
99,0.4442,0.4941,0.4424,0.4753,0.4791,0.4538,0.4466,0.4781,0.4576,0.4387,0.5358,0.5378
100,0.4868,0.458,0.4464,0.4651,0.4819,0.4502,0.4466,0.4615,0.4357,0.4646,0.5283,0.5346
