Round,Class 0,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9
1,0.187,0.013,0.467,0.1,0.105,0.397,0.021,0.156,0.528,0.119
2,0.654,0.172,0.166,0.107,0.19,0.134,0.529,0.136,0.303,0.431
3,0.386,0.481,0.059,0.177,0.05,0.218,0.692,0.293,0.502,0.483
4,0.491,0.587,0.259,0.22,0.154,0.344,0.481,0.374,0.483,0.487
5,0.516,0.636,0.215,0.222,0.405,0.263,0.483,0.462,0.472,0.487
6,0.466,0.587,0.168,0.233,0.44,0.383,0.517,0.451,0.566,0.528
7,0.521,0.635,0.353,0.263,0.325,0.304,0.479,0.517,0.532,0.506
8,0.497,0.666,0.193,0.159,0.455,0.354,0.583,0.574,0.561,0.466
9,0.514,0.668,0.29,0.225,0.466,0.357,0.549,0.522,0.606,0.487
10,0.519,0.647,0.282,0.224,0.338,0.362,0.629,0.585,0.559,0.556
11,0.543,0.686,0.311,0.315,0.379,0.362,0.545,0.546,0.626,0.514
12,0.492,0.658,0.343,0.269,0.349,0.386,0.616,0.59,0.656,0.568
13,0.512,0.68,0.331,0.23,0.405,0.445,0.619,0.591,0.622,0.587
14,0.512,0.713,0.343,0.357,0.354,0.401,0.587,0.589,0.662,0.579
15,0.509,0.685,0.332,0.326,0.405,0.403,0.599,0.63,0.596,0.631
16,0.532,0.71,0.274,0.271,0.433,0.391,0.673,0.622,0.687,0.581
17,0.563,0.696,0.371,0.359,0.367,0.413,0.602,0.638,0.616,0.628
18,0.562,0.707,0.378,0.342,0.414,0.41,0.592,0.622,0.661,0.632
19,0.557,0.713,0.35,0.294,0.433,0.418,0.675,0.63,0.649,0.624
20,0.572,0.757,0.317,0.333,0.432,0.469,0.648,0.631,0.672,0.57
21,0.561,0.734,0.37,0.358,0.417,0.429,0.635,0.651,0.707,0.615
22,0.578,0.716,0.372,0.317,0.468,0.456,0.651,0.628,0.676,0.654
23,0.57,0.733,0.378,0.351,0.449,0.462,0.653,0.621,0.705,0.635
24,0.612,0.698,0.385,0.318,0.467,0.462,0.673,0.629,0.673,0.658
25,0.599,0.751,0.407,0.392,0.446,0.439,0.65,0.622,0.726,0.631
26,0.614,0.73,0.404,0.371,0.444,0.453,0.683,0.653,0.678,0.659
27,0.576,0.75,0.389,0.361,0.486,0.479,0.669,0.656,0.73,0.633
28,0.594,0.72,0.383,0.376,0.49,0.475,0.636,0.676,0.733,0.659
29,0.599,0.753,0.43,0.378,0.464,0.439,0.701,0.673,0.702,0.611
30,0.613,0.719,0.382,0.379,0.499,0.481,0.672,0.663,0.7,0.682
31,0.607,0.76,0.418,0.4,0.475,0.491,0.675,0.68,0.698,0.644
32,0.61,0.716,0.424,0.387,0.493,0.511,0.669,0.69,0.692,0.68
33,0.62,0.738,0.472,0.391,0.453,0.475,0.708,0.652,0.716,0.666
34,0.627,0.716,0.457,0.395,0.457,0.499,0.667,0.681,0.714,0.679
35,0.632,0.747,0.446,0.378,0.474,0.498,0.707,0.66,0.709,0.639
36,0.627,0.759,0.405,0.38,0.491,0.499,0.709,0.679,0.713,0.647
37,0.604,0.723,0.385,0.373,0.526,0.53,0.692,0.661,0.747,0.678
38,0.662,0.738,0.405,0.434,0.472,0.448,0.73,0.669,0.707,0.686
39,0.648,0.771,0.422,0.385,0.549,0.487,0.67,0.662,0.738,0.639
40,0.626,0.741,0.446,0.424,0.486,0.492,0.698,0.655,0.726,0.67
41,0.645,0.765,0.411,0.387,0.495,0.515,0.716,0.677,0.71,0.663
42,0.617,0.758,0.436,0.412,0.513,0.504,0.703,0.676,0.749,0.643
43,0.645,0.74,0.477,0.376,0.472,0.509,0.73,0.667,0.729,0.665
44,0.647,0.759,0.461,0.373,0.483,0.516,0.725,0.682,0.736,0.647
45,0.628,0.751,0.457,0.413,0.518,0.508,0.699,0.673,0.739,0.659
46,0.645,0.745,0.433,0.392,0.502,0.553,0.7,0.677,0.728,0.675
47,0.619,0.748,0.482,0.412,0.515,0.472,0.701,0.667,0.751,0.661
48,0.667,0.773,0.478,0.395,0.485,0.505,0.706,0.682,0.719,0.657
49,0.643,0.739,0.47,0.386,0.487,0.53,0.724,0.679,0.743,0.687
50,0.661,0.73,0.465,0.443,0.514,0.491,0.691,0.683,0.731,0.705
51,0.643,0.758,0.465,0.427,0.51,0.512,0.721,0.672,0.742,0.669
52,0.666,0.768,0.468,0.412,0.496,0.515,0.702,0.672,0.733,0.675
53,0.66,0.739,0.501,0.42,0.47,0.517,0.691,0.668,0.746,0.686
54,0.648,0.747,0.46,0.399,0.536,0.522,0.737,0.658,0.744,0.658
55,0.661,0.768,0.471,0.384,0.499,0.531,0.716,0.677,0.74,0.673
56,0.66,0.766,0.45,0.419,0.493,0.479,0.702,0.694,0.759,0.65
57,0.648,0.763,0.44,0.438,0.499,0.521,0.7,0.675,0.744,0.663
58,0.643,0.762,0.474,0.422,0.506,0.521,0.694,0.668,0.76,0.657
59,0.649,0.77,0.473,0.41,0.507,0.505,0.718,0.68,0.739,0.676
60,0.627,0.761,0.438,0.409,0.53,0.513,0.741,0.67,0.745,0.694
61,0.648,0.733,0.463,0.397,0.484,0.532,0.744,0.668,0.749,0.707
62,0.647,0.775,0.446,0.398,0.491,0.568,0.732,0.675,0.733,0.692
63,0.634,0.786,0.443,0.411,0.51,0.527,0.733,0.667,0.761,0.667
64,0.643,0.764,0.449,0.407,0.517,0.55,0.693,0.7,0.758,0.689
65,0.645,0.767,0.461,0.429,0.541,0.527,0.704,0.671,0.762,0.676
66,0.655,0.76,0.432,0.421,0.526,0.539,0.714,0.659,0.753,0.693
67,0.668,0.756,0.471,0.423,0.518,0.504,0.714,0.68,0.761,0.688
68,0.666,0.743,0.456,0.417,0.511,0.518,0.745,0.675,0.745,0.69
69,0.665,0.757,0.459,0.422,0.483,0.539,0.725,0.689,0.739,0.677
70,0.674,0.787,0.455,0.404,0.503,0.56,0.711,0.661,0.741,0.67
71,0.66,0.78,0.466,0.417,0.513,0.531,0.738,0.658,0.757,0.669
72,0.66,0.76,0.461,0.405,0.502,0.543,0.741,0.693,0.766,0.674
73,0.662,0.748,0.432,0.384,0.539,0.576,0.716,0.709,0.725,0.688
74,0.666,0.77,0.453,0.407,0.516,0.517,0.713,0.695,0.751,0.693
75,0.666,0.763,0.467,0.41,0.498,0.553,0.717,0.688,0.738,0.7
76,0.663,0.762,0.454,0.416,0.53,0.546,0.715,0.691,0.746,0.692
77,0.675,0.787,0.476,0.39,0.503,0.52,0.699,0.706,0.762,0.668
78,0.656,0.774,0.473,0.424,0.509,0.535,0.691,0.693,0.766,0.675
79,0.661,0.756,0.439,0.422,0.522,0.52,0.722,0.687,0.745,0.689
80,0.665,0.761,0.474,0.409,0.509,0.549,0.708,0.679,0.747,0.662
81,0.638,0.743,0.438,0.415,0.518,0.536,0.749,0.687,0.744,0.703
82,0.673,0.754,0.461,0.396,0.535,0.532,0.672,0.691,0.749,0.694
83,0.658,0.769,0.463,0.396,0.526,0.54,0.751,0.701,0.727,0.664
84,0.651,0.771,0.464,0.394,0.5,0.554,0.728,0.702,0.75,0.664
85,0.685,0.745,0.466,0.405,0.512,0.536,0.738,0.685,0.735,0.67
86,0.666,0.751,0.443,0.412,0.513,0.563,0.721,0.695,0.748,0.671
87,0.663,0.769,0.424,0.421,0.539,0.543,0.729,0.698,0.751,0.662
88,0.662,0.764,0.459,0.41,0.543,0.514,0.727,0.692,0.74,0.669
89,0.647,0.765,0.453,0.416,0.517,0.539,0.728,0.696,0.745,0.676
90,0.668,0.756,0.452,0.417,0.526,0.542,0.696,0.69,0.738,0.695
91,0.665,0.781,0.478,0.421,0.523,0.517,0.718,0.689,0.728,0.682
92,0.668,0.729,0.458,0.406,0.525,0.562,0.697,0.693,0.744,0.712
93,0.652,0.753,0.458,0.396,0.52,0.533,0.735,0.689,0.729,0.697
94,0.658,0.778,0.465,0.404,0.508,0.517,0.703,0.698,0.739,0.673
95,0.659,0.748,0.463,0.417,0.533,0.519,0.687,0.694,0.751,0.701
96,0.65,0.782,0.461,0.408,0.545,0.538,0.713,0.668,0.753,0.672
97,0.668,0.758,0.464,0.385,0.528,0.537,0.716,0.675,0.73,0.694
98,0.657,0.787,0.443,0.401,0.516,0.55,0.692,0.703,0.734,0.669
99,0.659,0.767,0.479,0.425,0.494,0.54,0.713,0.666,0.72,0.684
100,0.664,0.747,0.448,0.428,0.538,0.53,0.707,0.678,0.74,0.684
