Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10,Average Subset Test Acc,Aggregated Test Acc
1,0.4179,0.4304,0.4247,0.4201,0.4243,0.4129,0.4286,0.4130,0.4058,0.4201,0.4198,0.4174
2,0.4588,0.4724,0.4693,0.4663,0.4604,0.4593,0.4739,0.4713,0.4661,0.4478,0.4646,0.4551
3,0.4932,0.5049,0.4928,0.4944,0.4890,0.4936,0.4927,0.4964,0.4845,0.4839,0.4925,0.4775
4,0.5233,0.5220,0.5092,0.5146,0.5170,0.5074,0.5187,0.5049,0.5057,0.5023,0.5125,0.4897
5,0.5314,0.5485,0.5291,0.5342,0.5310,0.5293,0.5372,0.5308,0.5289,0.5198,0.5320,0.5066
6,0.5511,0.5601,0.5493,0.5401,0.5441,0.5562,0.5489,0.5534,0.5355,0.5383,0.5477,0.5135
7,0.5724,0.5801,0.5637,0.5714,0.5655,0.5695,0.5571,0.5790,0.5701,0.5502,0.5679,0.5259
8,0.5814,0.5832,0.5688,0.5812,0.5787,0.5802,0.5831,0.5808,0.5772,0.5764,0.5791,0.5370
9,0.5997,0.5965,0.5863,0.5886,0.5985,0.5949,0.5921,0.6043,0.5947,0.5955,0.5951,0.5413
10,0.6037,0.5985,0.5947,0.5977,0.6070,0.6044,0.6098,0.6064,0.6064,0.6050,0.6034,0.5464
11,0.6172,0.6170,0.6074,0.6146,0.6133,0.6105,0.6131,0.6151,0.6101,0.6123,0.6121,0.5508
12,0.6171,0.6209,0.5970,0.6082,0.6203,0.6189,0.6264,0.6191,0.6116,0.6207,0.6160,0.5502
13,0.6222,0.6142,0.6220,0.6230,0.6240,0.6248,0.6289,0.6309,0.6205,0.6214,0.6232,0.5553
14,0.6267,0.6332,0.6187,0.6278,0.6328,0.6311,0.6345,0.6393,0.6314,0.6319,0.6307,0.5551
15,0.6328,0.6380,0.6287,0.6276,0.6335,0.6319,0.6316,0.6281,0.6292,0.6382,0.6310,0.5526
16,0.6381,0.6293,0.6358,0.6308,0.6435,0.6329,0.6465,0.6392,0.6314,0.6438,0.6371,0.5538
17,0.6372,0.6452,0.6402,0.6382,0.6512,0.6376,0.6371,0.6473,0.6361,0.6431,0.6413,0.5560
18,0.6477,0.6410,0.6364,0.6458,0.6505,0.6360,0.6446,0.6474,0.6410,0.6505,0.6441,0.5551
19,0.6373,0.6447,0.6518,0.6458,0.6496,0.6417,0.6488,0.6444,0.6478,0.6483,0.6460,0.5573
20,0.6458,0.6498,0.6500,0.6493,0.6562,0.6379,0.6454,0.6589,0.6480,0.6534,0.6495,0.5551